"_raw","_time",host,index,linecount,source,sourcetype,"splunk_server","tag::host"
"2018-01-09T01:03:18.388743-05:00 lfs-mgmt2.ccs.ornl.gov fprof.sym_count: 6130793","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388618-05:00 lfs-mgmt2.ccs.ornl.gov fprof.dir_count: 68110104","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388488-05:00 lfs-mgmt2.ccs.ornl.gov fprof.version: 0.16","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2018-01-09T01:03:18.388303-05:00 lfs-mgmt2.ccs.ornl.gov fprof.rootpath: /lustre/atlas2","2018-01-09T01:03:18.388-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2017-12-25T19:14:12.787211-05:00 lfs-mgmt2.ccs.ornl.gov fprof.fsize_perc.hist: Bin_LE_4.00_KiB = 0.000470036321611, Bin_LE_8.00_KiB = 0.000906181063613, Bin_LE_16.00_KiB = 0.00257236708055, Bin_LE_32.00_KiB = 0.00475328619174, Bin_LE_64.00_KiB = 0.00614566117838, Bin_LE_128.00_KiB = 0.00695757178512, Bin_LE_256.00_KiB = 0.0538353764463, Bin_LE_512.00_KiB = 0.0391358286142, Bin_LE_1.00_MiB = 0.175852023487, Bin_LE_2.00_MiB = 0.402803354145, Bin_LE_4.00_MiB = 1.92729216926, Bin_LE_16.00_MiB = 5.95003151072, Bin_LE_32.00_MiB = 2.36554980466, Bin_LE_64.00_MiB = 7.58471094524, Bin_LE_128.00_MiB = 9.78461572226, Bin_LE_256.00_MiB = 3.66948654923, Bin_LE_512.00_MiB = 3.39208383044, Bin_LE_1.00_GiB = 5.12979654506, Bin_LE_4.00_GiB = 15.6098022814, Bin_LE_64.00_GiB = 26.869226081, Bin_LE_128.00_GiB = 2.00395084237, Bin_LE_256.00_GiB = 3.00129127355, Bin_LE_512.00_GiB = 3.72529124129, Bin_LE_1.00_TiB = 4.7315112266, Bin_LE_4.00_TiB = 2.1663677033, Bin_GT_4.00_TiB = 1.39556058729","2017-12-25T19:14:12.787-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2017-12-25T19:14:12.786697-05:00 lfs-mgmt2.ccs.ornl.gov fprof.filecount.hist: Bin_LE_4.00_KiB = 43287321, Bin_LE_8.00_KiB = 13037709, Bin_LE_16.00_KiB = 16101540, Bin_LE_32.00_KiB = 16465904, Bin_LE_64.00_KiB = 10951862, Bin_LE_128.00_KiB = 6123287, Bin_LE_256.00_KiB = 24819332, Bin_LE_512.00_KiB = 8803548, Bin_LE_1.00_MiB = 20209209, Bin_LE_2.00_MiB = 23032576, Bin_LE_4.00_MiB = 46173849, Bin_LE_16.00_MiB = 50146242, Bin_LE_32.00_MiB = 7479890, Bin_LE_64.00_MiB = 13155372, Bin_LE_128.00_MiB = 8562271, Bin_LE_256.00_MiB = 1529949, Bin_LE_512.00_MiB = 758911, Bin_LE_1.00_GiB = 574810, Bin_LE_4.00_GiB = 716533, Bin_LE_64.00_GiB = 212257, Bin_LE_128.00_GiB = 1825, Bin_LE_256.00_GiB = 1292, Bin_LE_512.00_GiB = 729, Bin_LE_1.00_TiB = 486, Bin_LE_4.00_TiB = 99, Bin_GT_4.00_TiB = 12","2017-12-25T19:14:12.786-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2017-12-25T19:14:12.777179-05:00 lfs-mgmt2.ccs.ornl.gov fprof.scan_rate: 10242","2017-12-25T19:14:12.777-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2017-12-25T19:14:12.777058-05:00 lfs-mgmt2.ccs.ornl.gov fprof.walktime: 10h 14m","2017-12-25T19:14:12.777-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2017-12-25T19:14:12.776930-05:00 lfs-mgmt2.ccs.ornl.gov fprof.avg_file_size: 25.32 MiB","2017-12-25T19:14:12.776-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
"2017-12-25T19:14:12.776787-05:00 lfs-mgmt2.ccs.ornl.gov fprof.total_file_size: 7537.71 TiB","2017-12-25T19:14:12.776-0500","lfs-mgmt2.ccs.ornl.gov",main,1,"/data/log/splunk/default.log",syslog,"splunkindex01.ccs.ornl.gov",
